Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Chrome 65.0.3325.181,,2018-04-05 10:06:09,2018-04-05 10:06:54,45.163s,FAILED
,,,,,,
Test Cases/Testing_Alert_First_page,Chrome 65.0.3325.181,,2018-04-05 10:06:11,2018-04-05 10:06:54,43.453s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-05 10:06:12,2018-04-05 10:06:18,6.213s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-05 10:06:18,2018-04-05 10:06:23,4.313s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-05 10:06:23,2018-04-05 10:06:54,31.538s,FAILED
