Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Firefox 58.0,,2018-03-16 16:30:10,2018-03-16 16:30:51,40.357s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Firefox 58.0,,2018-03-16 16:30:11,2018-03-16 16:30:50,39.071s,PASSED
openBrowser,Firefox 58.0,,2018-03-16 16:30:13,2018-03-16 16:30:24,11.711s,PASSED
navigateToUrl,Firefox 58.0,,2018-03-16 16:30:24,2018-03-16 16:30:30,5.229s,PASSED
setText,Firefox 58.0,,2018-03-16 16:30:30,2018-03-16 16:30:30,0.447s,PASSED
setText,Firefox 58.0,,2018-03-16 16:30:30,2018-03-16 16:30:30,0.259s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:30,2018-03-16 16:30:31,0.357s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:31,2018-03-16 16:30:40,9.563s,PASSED
takeScreenshot,Firefox 58.0,,2018-03-16 16:30:40,2018-03-16 16:30:41,0.359s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:41,2018-03-16 16:30:41,0.280s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:41,2018-03-16 16:30:41,0.281s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:41,2018-03-16 16:30:41,0.300s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:41,2018-03-16 16:30:42,0.300s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:42,2018-03-16 16:30:42,0.278s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:42,2018-03-16 16:30:42,0.285s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:42,2018-03-16 16:30:43,0.323s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:43,2018-03-16 16:30:43,0.268s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:43,2018-03-16 16:30:43,0.268s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:43,2018-03-16 16:30:43,0.272s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:43,2018-03-16 16:30:44,0.256s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:44,2018-03-16 16:30:44,0.261s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:44,2018-03-16 16:30:44,0.250s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:44,2018-03-16 16:30:44,0.258s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:44,2018-03-16 16:30:45,0.245s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:45,2018-03-16 16:30:45,0.247s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:45,2018-03-16 16:30:45,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:45,2018-03-16 16:30:45,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:45,2018-03-16 16:30:46,0.243s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:46,2018-03-16 16:30:46,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:46,2018-03-16 16:30:46,0.248s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:46,2018-03-16 16:30:46,0.250s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:46,2018-03-16 16:30:47,0.256s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:47,2018-03-16 16:30:47,0.246s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:47,2018-03-16 16:30:47,0.250s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:47,2018-03-16 16:30:47,0.250s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:47,2018-03-16 16:30:48,0.245s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:48,2018-03-16 16:30:48,0.244s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:48,2018-03-16 16:30:48,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:48,2018-03-16 16:30:48,0.289s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:48,2018-03-16 16:30:49,0.247s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:49,2018-03-16 16:30:49,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:49,2018-03-16 16:30:49,0.246s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:49,2018-03-16 16:30:49,0.255s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:49,2018-03-16 16:30:50,0.251s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:50,2018-03-16 16:30:50,0.246s,PASSED
click,Firefox 58.0,,2018-03-16 16:30:50,2018-03-16 16:30:50,0.247s,PASSED
closeBrowser,Firefox 58.0,,2018-03-16 16:30:50,2018-03-16 16:30:50,0.241s,PASSED
