Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Chrome 65.0.3325.162,,2018-03-16 16:30:11,2018-03-16 16:30:44,33.463s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Chrome 65.0.3325.162,,2018-03-16 16:30:12,2018-03-16 16:30:44,32.172s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-16 16:30:13,2018-03-16 16:30:18,4.969s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-16 16:30:18,2018-03-16 16:30:23,4.977s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-16 16:30:23,2018-03-16 16:30:23,0.519s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-16 16:30:23,2018-03-16 16:30:24,0.278s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:24,2018-03-16 16:30:24,0.242s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:24,2018-03-16 16:30:31,6.841s,PASSED
takeScreenshot,Chrome 65.0.3325.162,,2018-03-16 16:30:31,2018-03-16 16:30:32,1.063s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:32,2018-03-16 16:30:32,0.547s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:32,2018-03-16 16:30:33,0.540s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:33,2018-03-16 16:30:33,0.341s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:33,2018-03-16 16:30:34,0.555s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:34,2018-03-16 16:30:34,0.430s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:34,2018-03-16 16:30:35,0.399s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:35,2018-03-16 16:30:35,0.374s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:35,2018-03-16 16:30:35,0.288s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:35,2018-03-16 16:30:35,0.148s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:35,2018-03-16 16:30:36,0.322s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:36,2018-03-16 16:30:36,0.149s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:36,2018-03-16 16:30:36,0.254s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:36,2018-03-16 16:30:36,0.204s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:36,2018-03-16 16:30:37,0.243s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:37,2018-03-16 16:30:37,0.168s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:37,2018-03-16 16:30:37,0.257s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:37,2018-03-16 16:30:37,0.148s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:37,2018-03-16 16:30:37,0.261s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:37,2018-03-16 16:30:38,0.170s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:38,2018-03-16 16:30:38,0.408s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:38,2018-03-16 16:30:38,0.266s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:38,2018-03-16 16:30:39,0.462s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:39,2018-03-16 16:30:39,0.530s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:39,2018-03-16 16:30:40,0.250s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:40,2018-03-16 16:30:40,0.174s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:40,2018-03-16 16:30:40,0.192s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:40,2018-03-16 16:30:40,0.374s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:40,2018-03-16 16:30:41,0.418s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:41,2018-03-16 16:30:41,0.179s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:41,2018-03-16 16:30:41,0.261s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:41,2018-03-16 16:30:41,0.282s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:41,2018-03-16 16:30:42,0.349s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:42,2018-03-16 16:30:42,0.240s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:42,2018-03-16 16:30:42,0.471s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:42,2018-03-16 16:30:43,0.163s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:43,2018-03-16 16:30:43,0.819s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 16:30:43,2018-03-16 16:30:44,0.414s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-16 16:30:44,2018-03-16 16:30:44,0.088s,PASSED
