Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Firefox 58.0,,2018-03-16 15:28:40,2018-03-16 15:29:24,43.742s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Firefox 58.0,,2018-03-16 15:28:42,2018-03-16 15:29:24,42.009s,PASSED
openBrowser,Firefox 58.0,,2018-03-16 15:28:43,2018-03-16 15:28:55,11.885s,PASSED
navigateToUrl,Firefox 58.0,,2018-03-16 15:28:55,2018-03-16 15:29:03,7.526s,PASSED
setText,Firefox 58.0,,2018-03-16 15:29:03,2018-03-16 15:29:03,0.643s,PASSED
setText,Firefox 58.0,,2018-03-16 15:29:03,2018-03-16 15:29:03,0.174s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:03,2018-03-16 15:29:04,0.413s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:04,2018-03-16 15:29:13,8.641s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:13,2018-03-16 15:29:13,0.770s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:13,2018-03-16 15:29:14,0.352s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:14,2018-03-16 15:29:14,0.362s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:14,2018-03-16 15:29:14,0.288s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:14,2018-03-16 15:29:15,0.333s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:15,2018-03-16 15:29:15,0.286s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:15,2018-03-16 15:29:15,0.313s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:15,2018-03-16 15:29:16,0.288s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:16,2018-03-16 15:29:16,0.278s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:16,2018-03-16 15:29:16,0.419s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:16,2018-03-16 15:29:16,0.269s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:16,2018-03-16 15:29:17,0.263s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:17,2018-03-16 15:29:17,0.286s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:17,2018-03-16 15:29:17,0.253s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:17,2018-03-16 15:29:18,0.250s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:18,2018-03-16 15:29:18,0.248s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:18,2018-03-16 15:29:18,0.262s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:18,2018-03-16 15:29:18,0.267s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:18,2018-03-16 15:29:19,0.252s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:19,2018-03-16 15:29:19,0.312s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:19,2018-03-16 15:29:19,0.324s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:19,2018-03-16 15:29:19,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:19,2018-03-16 15:29:20,0.252s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:20,2018-03-16 15:29:20,0.261s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:20,2018-03-16 15:29:20,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:20,2018-03-16 15:29:21,0.273s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:21,2018-03-16 15:29:21,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:21,2018-03-16 15:29:21,0.256s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:21,2018-03-16 15:29:21,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:21,2018-03-16 15:29:22,0.251s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:22,2018-03-16 15:29:22,0.256s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:22,2018-03-16 15:29:22,0.266s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:22,2018-03-16 15:29:22,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:22,2018-03-16 15:29:23,0.263s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:23,2018-03-16 15:29:23,0.273s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:23,2018-03-16 15:29:23,0.246s,PASSED
click,Firefox 58.0,,2018-03-16 15:29:23,2018-03-16 15:29:23,0.262s,PASSED
closeBrowser,Firefox 58.0,,2018-03-16 15:29:23,2018-03-16 15:29:24,0.536s,PASSED
