Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Firefox 59.0,,2018-04-09 12:56:01,2018-04-09 12:56:37,36.032s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Firefox 59.0,,2018-04-09 12:56:02,2018-04-09 12:56:37,34.599s,PASSED
openBrowser,Firefox 59.0,,2018-04-09 12:56:04,2018-04-09 12:56:16,12.508s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-09 12:56:16,2018-04-09 12:56:18,1.668s,PASSED
setText,Firefox 59.0,,2018-04-09 12:56:18,2018-04-09 12:56:18,0.225s,PASSED
setText,Firefox 59.0,,2018-04-09 12:56:18,2018-04-09 12:56:18,0.130s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:18,2018-04-09 12:56:19,0.341s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:19,2018-04-09 12:56:26,6.834s,PASSED
takeScreenshot,Firefox 59.0,,2018-04-09 12:56:26,2018-04-09 12:56:26,0.411s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:26,2018-04-09 12:56:27,0.670s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:27,2018-04-09 12:56:27,0.329s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:27,2018-04-09 12:56:27,0.305s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:27,2018-04-09 12:56:28,0.322s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:28,2018-04-09 12:56:28,0.268s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:28,2018-04-09 12:56:28,0.265s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:28,2018-04-09 12:56:28,0.274s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:28,2018-04-09 12:56:29,0.268s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:29,2018-04-09 12:56:29,0.258s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:29,2018-04-09 12:56:29,0.265s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:29,2018-04-09 12:56:30,0.274s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:30,2018-04-09 12:56:30,0.264s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:30,2018-04-09 12:56:30,0.243s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:30,2018-04-09 12:56:30,0.265s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:30,2018-04-09 12:56:31,0.279s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:31,2018-04-09 12:56:31,0.310s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:31,2018-04-09 12:56:31,0.272s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:31,2018-04-09 12:56:31,0.273s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:31,2018-04-09 12:56:32,0.262s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:32,2018-04-09 12:56:32,0.265s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:32,2018-04-09 12:56:32,0.260s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:32,2018-04-09 12:56:32,0.273s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:32,2018-04-09 12:56:33,0.259s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:33,2018-04-09 12:56:33,0.256s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:33,2018-04-09 12:56:33,0.255s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:33,2018-04-09 12:56:34,0.305s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:34,2018-04-09 12:56:34,0.255s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:34,2018-04-09 12:56:34,0.289s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:34,2018-04-09 12:56:34,0.255s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:34,2018-04-09 12:56:35,0.256s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:35,2018-04-09 12:56:35,0.254s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:35,2018-04-09 12:56:35,0.265s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:35,2018-04-09 12:56:35,0.254s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:35,2018-04-09 12:56:36,0.269s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:36,2018-04-09 12:56:36,0.255s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:36,2018-04-09 12:56:36,0.261s,PASSED
click,Firefox 59.0,,2018-04-09 12:56:36,2018-04-09 12:56:36,0.280s,PASSED
closeBrowser,Firefox 59.0,,2018-04-09 12:56:36,2018-04-09 12:56:37,0.608s,PASSED
