Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Firefox 59.0,,2018-03-19 12:15:47,2018-03-19 12:16:22,35.703s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Firefox 59.0,,2018-03-19 12:15:48,2018-03-19 12:16:22,34.350s,PASSED
openBrowser,Firefox 59.0,,2018-03-19 12:15:49,2018-03-19 12:16:01,11.335s,PASSED
navigateToUrl,Firefox 59.0,,2018-03-19 12:16:01,2018-03-19 12:16:03,2.379s,PASSED
setText,Firefox 59.0,,2018-03-19 12:16:03,2018-03-19 12:16:03,0.398s,PASSED
setText,Firefox 59.0,,2018-03-19 12:16:03,2018-03-19 12:16:04,0.215s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:04,2018-03-19 12:16:04,0.327s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:04,2018-03-19 12:16:11,7.534s,PASSED
takeScreenshot,Firefox 59.0,,2018-03-19 12:16:11,2018-03-19 12:16:12,0.522s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:12,2018-03-19 12:16:12,0.356s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:12,2018-03-19 12:16:13,0.347s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:13,2018-03-19 12:16:13,0.288s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:13,2018-03-19 12:16:13,0.280s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:13,2018-03-19 12:16:13,0.270s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:13,2018-03-19 12:16:14,0.266s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:14,2018-03-19 12:16:14,0.262s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:14,2018-03-19 12:16:14,0.266s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:14,2018-03-19 12:16:15,0.263s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:15,2018-03-19 12:16:15,0.273s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:15,2018-03-19 12:16:15,0.249s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:15,2018-03-19 12:16:15,0.291s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:15,2018-03-19 12:16:16,0.254s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:16,2018-03-19 12:16:16,0.258s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:16,2018-03-19 12:16:16,0.253s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:16,2018-03-19 12:16:16,0.253s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:16,2018-03-19 12:16:17,0.264s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:17,2018-03-19 12:16:17,0.275s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:17,2018-03-19 12:16:17,0.266s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:17,2018-03-19 12:16:17,0.263s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:17,2018-03-19 12:16:18,0.266s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:18,2018-03-19 12:16:18,0.279s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:18,2018-03-19 12:16:18,0.271s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:18,2018-03-19 12:16:19,0.262s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:19,2018-03-19 12:16:19,0.251s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:19,2018-03-19 12:16:19,0.263s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:19,2018-03-19 12:16:19,0.265s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:19,2018-03-19 12:16:20,0.258s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:20,2018-03-19 12:16:20,0.258s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:20,2018-03-19 12:16:20,0.242s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:20,2018-03-19 12:16:20,0.249s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:20,2018-03-19 12:16:21,0.267s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:21,2018-03-19 12:16:21,0.248s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:21,2018-03-19 12:16:21,0.265s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:21,2018-03-19 12:16:21,0.260s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:21,2018-03-19 12:16:22,0.253s,PASSED
click,Firefox 59.0,,2018-03-19 12:16:22,2018-03-19 12:16:22,0.256s,PASSED
closeBrowser,Firefox 59.0,,2018-03-19 12:16:22,2018-03-19 12:16:22,0.513s,PASSED
