Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Chrome 65.0.3325.181,,2018-04-05 10:06:09,2018-04-05 10:06:55,46.192s,FAILED
,,,,,,
Test Cases/Testing_Alert_First_page,Chrome 65.0.3325.181,,2018-04-05 10:06:11,2018-04-05 10:06:55,44.276s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-05 10:06:12,2018-04-05 10:06:18,5.705s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-05 10:06:18,2018-04-05 10:06:24,6.006s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-05 10:06:24,2018-04-05 10:06:55,31.189s,FAILED
