Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Chrome 65.0.3325.162,,2018-03-16 15:28:40,2018-03-16 15:29:29,48.968s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Chrome 65.0.3325.162,,2018-03-16 15:28:42,2018-03-16 15:29:29,47.216s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-16 15:28:43,2018-03-16 15:28:49,5.879s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-16 15:28:49,2018-03-16 15:29:00,10.788s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-16 15:29:00,2018-03-16 15:29:01,0.976s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-16 15:29:01,2018-03-16 15:29:01,0.505s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:01,2018-03-16 15:29:02,0.434s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:02,2018-03-16 15:29:13,11.227s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:13,2018-03-16 15:29:14,1.122s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:14,2018-03-16 15:29:15,0.685s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:15,2018-03-16 15:29:15,0.533s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:15,2018-03-16 15:29:16,0.618s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:16,2018-03-16 15:29:16,0.296s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:16,2018-03-16 15:29:17,0.743s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:17,2018-03-16 15:29:17,0.369s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:17,2018-03-16 15:29:18,0.497s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:18,2018-03-16 15:29:18,0.251s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:18,2018-03-16 15:29:19,0.584s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:19,2018-03-16 15:29:20,0.774s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:20,2018-03-16 15:29:20,0.283s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:20,2018-03-16 15:29:20,0.386s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:20,2018-03-16 15:29:21,0.488s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:21,2018-03-16 15:29:21,0.254s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:21,2018-03-16 15:29:22,0.516s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:22,2018-03-16 15:29:22,0.330s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:22,2018-03-16 15:29:22,0.533s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:22,2018-03-16 15:29:23,0.415s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:23,2018-03-16 15:29:23,0.531s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:23,2018-03-16 15:29:24,0.307s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:24,2018-03-16 15:29:24,0.430s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:24,2018-03-16 15:29:25,0.484s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:25,2018-03-16 15:29:25,0.760s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:25,2018-03-16 15:29:26,0.198s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:26,2018-03-16 15:29:26,0.306s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:26,2018-03-16 15:29:26,0.254s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:26,2018-03-16 15:29:26,0.272s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:26,2018-03-16 15:29:27,0.272s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:27,2018-03-16 15:29:27,0.458s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:27,2018-03-16 15:29:27,0.266s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:27,2018-03-16 15:29:28,0.366s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:28,2018-03-16 15:29:28,0.174s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:28,2018-03-16 15:29:28,0.393s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:28,2018-03-16 15:29:28,0.179s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:28,2018-03-16 15:29:29,0.297s,PASSED
click,Chrome 65.0.3325.162,,2018-03-16 15:29:29,2018-03-16 15:29:29,0.355s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-16 15:29:29,2018-03-16 15:29:29,0.178s,PASSED
