Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Firefox 58.0,,2018-03-16 16:34:03,2018-03-16 16:34:40,36.952s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Firefox 58.0,,2018-03-16 16:34:05,2018-03-16 16:34:40,35.639s,PASSED
openBrowser,Firefox 58.0,,2018-03-16 16:34:06,2018-03-16 16:34:17,11.057s,PASSED
navigateToUrl,Firefox 58.0,,2018-03-16 16:34:17,2018-03-16 16:34:22,4.922s,PASSED
setText,Firefox 58.0,,2018-03-16 16:34:22,2018-03-16 16:34:22,0.411s,PASSED
setText,Firefox 58.0,,2018-03-16 16:34:22,2018-03-16 16:34:22,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:22,2018-03-16 16:34:23,0.336s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:23,2018-03-16 16:34:30,7.202s,PASSED
takeScreenshot,Firefox 58.0,,2018-03-16 16:34:30,2018-03-16 16:34:30,0.404s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:30,2018-03-16 16:34:31,0.440s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:31,2018-03-16 16:34:31,0.274s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:31,2018-03-16 16:34:31,0.275s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:31,2018-03-16 16:34:32,0.268s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:32,2018-03-16 16:34:32,0.261s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:32,2018-03-16 16:34:32,0.258s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:32,2018-03-16 16:34:32,0.255s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:32,2018-03-16 16:34:33,0.261s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:33,2018-03-16 16:34:33,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:33,2018-03-16 16:34:33,0.257s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:33,2018-03-16 16:34:33,0.262s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:33,2018-03-16 16:34:34,0.252s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:34,2018-03-16 16:34:34,0.255s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:34,2018-03-16 16:34:34,0.263s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:34,2018-03-16 16:34:34,0.250s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:34,2018-03-16 16:34:35,0.270s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:35,2018-03-16 16:34:35,0.265s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:35,2018-03-16 16:34:35,0.245s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:35,2018-03-16 16:34:35,0.244s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:35,2018-03-16 16:34:36,0.254s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:36,2018-03-16 16:34:36,0.251s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:36,2018-03-16 16:34:36,0.252s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:36,2018-03-16 16:34:36,0.246s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:36,2018-03-16 16:34:37,0.248s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:37,2018-03-16 16:34:37,0.243s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:37,2018-03-16 16:34:37,0.252s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:37,2018-03-16 16:34:37,0.238s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:37,2018-03-16 16:34:38,0.244s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:38,2018-03-16 16:34:38,0.242s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:38,2018-03-16 16:34:38,0.242s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:38,2018-03-16 16:34:38,0.249s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:38,2018-03-16 16:34:39,0.251s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:39,2018-03-16 16:34:39,0.243s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:39,2018-03-16 16:34:39,0.248s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:39,2018-03-16 16:34:39,0.243s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:39,2018-03-16 16:34:40,0.259s,PASSED
click,Firefox 58.0,,2018-03-16 16:34:40,2018-03-16 16:34:40,0.254s,PASSED
closeBrowser,Firefox 58.0,,2018-03-16 16:34:40,2018-03-16 16:34:40,0.262s,PASSED
